price_range;Brand;Model;RAM;Storage;Color
baixo;Xiaomi;Redmi 10;4;128;Blue
alto;Xiaomi;Shark 5;8;128;Black
médio;TCL;30;4;128;Blue
muito alto;Apple;iPhone 13;4;512;Blue
baixo;OPPO;A54s;4;128;Black
médio;OPPO;X3;8;128;Black
baixo;Xiaomi;Redmi 9C;4;128;Gray
muito alto;OPPO;X5 Pro;12;256;Black
alto;Apple;11 Pro;4;256;Gray
alto;Huawei;P30;8;128;Black
alto;Samsung;Galaxy Note 10;6;256;White
médio;Samsung;Galaxy A50;4;128;Black
baixo;ZTE;Blade A31;6;32;Gray
baixo;ZTE;Blade A52;2;32;Gray
baixo;Ulefone;Armor X9;4;64;Red
baixo;Xiaomi;Redmi Note 11;4;64;Blue
alto;OPPO;Reno6;12;256;Blue
baixo;Xiaomi;Redmi 10;4;64;Blue
médio;Xiaomi;Redmi Note 10;8;128;Blue
médio;Google;Pixel 6A;6;128;Green
baixo;OPPO;A16s;4;64;Black
baixo;Samsung;Galaxy A13;3;32;Blue
médio;Samsung;Galaxy A53;6;128;Orange
médio;Xiaomi;12;8;128;Green
muito alto;OPPO;X5;8;256;White
baixo;Xiaomi;Redmi 12C;3;32;Green
alto;Apple;11 Pro;4;256;Silver
médio;Samsung;Galaxy Note 10;6;128;Black
médio;Xiaomi;Redmi Note 9T;4;128;Black
médio;Xiaomi;11T;8;128;Gray
baixo;Xiaomi;Mi 8;6;4;Black
alto;Realme;GT Neo 2;12;256;Black
baixo;Samsung;Galaxy A13;4;128;Black
médio;Samsung;Galaxy A33;6;128;Blue
baixo;Xiaomi;Redmi 10;4;128;Green
baixo;Samsung;Galaxy A41;4;64;Black
médio;Samsung;Galaxy S10;8;128;Green
alto;Apple;iPhone 11;4;64;Purple
alto;POCO;F5;8;256;Black
baixo;Motorola;Moto G52;6;128;Gold
médio;OPPO;A74;6;128;Silver
muito alto;Samsung;Galaxy S23;6;1000;Black
alto;Apple;iPhone 12;4;64;Purple
muito alto;Xiaomi;13;8;256;White
alto;Apple;iPhone 13;4;256;Pink
médio;Apple;iPhone 11;4;128;White
muito alto;Apple;iPhone 14;6;1000;Purple
baixo;Motorola;Moto G62;4;128;Gray
alto;Apple;iPhone 11;4;128;Green
médio;Samsung;Galaxy A53;6;128;Blue
médio;Samsung;Galaxy A52;6;128;Black
